zts1e	Nuevo Ítem
zts4511e	Un bosquejo de la construcción de máscaras de los Ladrones del Desierto.[n]Está dibujado, cómo se pueden cosntruir nuevas Armas o Armamentos con los materiales correctos.[n]Guía de Construcción: [n]1.Todos los materiales deben estar en el inventario[n]2. Doble clic en el Bosquejo y se abre una nueva ventana para la Construcción[n].3.Hacer clic en el Item que debe fabricar[n]4.Hacer clic al botón para construir y así mismo iniciar con la fabricación.[n][n]
zts4512e	Restaura 3000 HP.[n] La Restauración es válida  para los Jugadores y sus NosMates.[n][n]
zts4513e	Reconstruye 3000 MP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4514e	Reconstruye 20000 MP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4515e	Reconstruye 20000 HP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4516e	Inicia el raid de los Ladrones del Desierto[n]En el Templo de Aster-Sendero Secreto.[n] Nivel requerido: 80 hasta 99[n][cómo se utiliza] El Jugador se convierte en Líder del Equipo.[n]Después de que seas el Líder del Equipo, selecciona a un compañero[n] y utiliza el botón para "invitar". Cuando ya hayas hecho todos los preparativos, ve a la Entrada raid.[n] Cuando el Líder de Equipo entre al raid, [n]todos los demás integrantes lo seguirán automáticamente.[n][Advertencia] Los personajes con un Nivel más alto que el Nivel recomendado[n] pueden participar en el raid pero recibirán una penalización.[n] (Aunque se tenga éxito, no aumentará el nivel de vidas, ni se recibirán baúles del tesoro). [n][n]
zts4517e	Contiene un Juego de Cartas de Tarot y un Objeto de la Suerte.[n][n]
zts4518e	Masa de metal caliente
zts4519e	Una Masa de Metal cuyo Calor podrás sentir.[n]Ésta es utilizada para fines Productivos.[n][n]
zts4520e	Reliquia Rota
zts4521e	Una Mercancía que se puede vender.[n]Una Reliquia que al examinarla  se rompió.[n]Ya que no parece ser muy valiosa, no se puede obtener tampoco un precio muy elevado por ella.[n][n]
zts4522e	Gema Violeta Brillante
zts4523e	Se trata de un articulo de venta.[n][n]
zts4524e	Gema Celeste Brillante
zts4525e	HP:2000, MP:2000[n]HP y MP se recargan lentamente.[n]También tu  NosMate saca provecho de ello.[n][n]
zts4526e	Pollo en Llamas
zts4527e	HP:10000, MP:10000[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n]No puede ser utilizado, mientras uno se reposa.[n][n]
zts4528e	Cuero caliente
zts4529e	Tu puedes sentir el Calor del Cuero.[n] Se utilizará para fines Productivos.[n][n]
zts4530e	Tela calurosa
zts4531e	Tu puedes sentir el Calor del Material.[n] Se utilizará para fines Productivos.[n][n]
zts4532e	Madera caliente
zts4533e	Tu puedes sentir el Calor de la Maderal.[n] Se utilizará para fines Productivos.[n][n]
zts4534e	Hilo de Plata Caluroso
zts4535e	Se utiliza en la Producción[n][n]
zts4536e	Hilo de Oro Caluroso
zts4537e	Cristal Mágico Divino
zts4538e	Cristal Mágico de las Tinieblas
zts4539e	Cristal Divino
zts4540e	Cristal de las Tinieblas
zts4541e	Arena de Metal Azul
zts4542e	Pedazo de Madera Azul
zts4543e	Pedazo de Metal Azul
zts4544e	Pedazo de Madera Violeta
zts4545e	Pedazo de Metal Violeta
zts4546e	Pedazo de Cristal Violeta
zts4547e	Pepita de Calabaza Violeta
zts4548e	Pepita de Calabaza Naranja
zts4549e	Pepita de Calabaza Celeste
zts4550e	Pedazo de Máscara de Akamur
zts4551e	Pedazo de Máscara de los Ladrones del Desierto
zts4552e	Placa de Akamur
zts4553e	Pan de Centeno Seco
zts4554e	HP:3500, MP:1500[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n]
zts4555e	Agua Manantial del Oasis
zts4556e	HP:1500, MP:3500[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n]
zts4557e	Pincho de Cordero Caliente
zts4558e	HP:4000, MP:3000[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n]
zts4559e	Agua Subterránea Fresca
zts4560e	HP:3000, MP:4000[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n][n]
zts4561e	Cacao Caliente
zts4562e	HP:15000, MP:7500[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n]No puede ser utilizado, cuando  tu te reposes.[n][n]
zts4563e	Cacao Frío
zts4564e	HP:7500, MP:15000[n]HP y MP se reconstruyen lentamente.[n]También tu NosMate saca provecho de ello.[n]No puede ser utilizado, cuando tu te reposes.[n][n]
zts4565e	Carne de Cordero
zts4566e	Ingrediente para un pincho de cordero[n][n]
zts4567e	Agua Subterránea
zts4568e	Ingrediente para Agua Subterránea Fresca[n][n]
zts4569e	Cofre de Fresas Gigantesco
zts4570e	Ingrediente para Zumo de Fresa Fresco y para Vino de Fresa Fuerte[n][n]
zts4571e	Cofre de Uvas Maduras
zts4572e	Ingrediente para Zumo de Uva Fresco y Vino de Uvas Fuerte[n][n]
zts4573e	Cofre de Manzanas Rojas
zts4574e	Ingrediente para Zumo de Manzana y para Vino de Manzana Fuerte[n][n]
zts4575e	Alas el Retorno (desierto)
zts4576e	Estas Alas te llevan de vuelta al pueblo. Al mismo tiempo se graba el lugar en el que te encuentras actualmente para que puedas volver a él con el Amuleto del Retorno.[n]Limitación:[n]Sólo se pueden usar en el desierto.[n]Dentro de la región del desierto puedes volver a un pueblo que tenga un lugar de renacimiento.[n][n]
zts4577e	Con esto podrás llegar hasta la Isla de la Muerte.
zts4579e	Un Paquete con cinco Cartas de Tarot. Al utilizarlo puedes recibir cinco Cartas de Tarot selladas.[n]Tu puedes recibir cinco de las siguientes Cartas selladas:[n]Bufón, Mago, Amor, Eremita, Muerte, Demonio, Menhir, Estrella,  Luna o Sol.[n]Cuando tu utilices una de las Cartas de Tarot Sellada, recibirás una Carta de Tarot como Objeto-Equipamiento. Apenas se ponga la Carta, comienza el Tiempo de Uso.
zts4580e	Un Paquete con cinco Cartas de Tarot. Al utilizarlo puedes recibir cinco Cartas de Tarot selladas.[n]Tu puedes recibir cinco de las siguientes Cartas selladas:[n]Bufón, Mago, Amor, Eremita, Muerte, Demonio, Menhir,Estrella,  Luna o Sol.[n]Cuando tu utilices una de las Cartas de Tarot Sellada, recibirás una Carta de Tarot como Objeto-Equipamiento. Apenas  pongas la Carta, comienza el Tiempo de Uso.
zts4581e	Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Máscara feroz A [n] Máscara feroz B [n] Máscara feroz C [n] Perla de Ardilla [n] Perla de la Ardilla Gladiadora [n] Perla de la Ardilla Cazaratones [n] Alimento especial para mascotas [n] Pergamino protector de equipamiento [n] Agua de la fuente de Cylloan [n]  Pergamino de la liberación [n]  Poción especial grande[n]
zts4582e	Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Másara de la Calma A [n] Máscara de la Calma B [n] Máscara de la Calma C [n] Perla de la Ardilla Torera [n] Perla de la Ardilla Marinera [n]  Perla de la Ardilla Samurai [n]  Alimento Especial para Mascotas [n] Pergamino Protector de equipamiento [n] Agua de la Fuente de Cylloan [n] Pergamino de la liberación [n] Poción especial grande[n]
zts4583e	Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Venda del Abismo A [n] Venda del Abismo B [n] Venda del Abismo C [n] Perla de Pegaso [n] Perla del conejo entrañable [n] Perla de la Ardilla Enferma [n]  Alimento Especial para Mascotas [n] Pergamino Protector de equipamiento [n] Agua de la fuente de Cylloan [n] Pergamino de la liberación [n] Pocion especial grande[n]
zts4584e	Al utilizarse recibirás la Angustia Mortal. Ésta te aumenta tu Precisión y tu Fuerza de Ataque.[n] Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4585e	Caja Misteriosa B [n] Abriendo esta caja, puedes obtener uno de los siguientes ítems de Nosmall. [n] [Los ítems que puedes obtener] [n] Máscara de la Calma A [n] Máscara de la Calma B [n] Máscara de la Calma C [n] Perlas de la Ardilla Torera [n] Perlas de la Ardilla Marinera [n] Perlas de la Ardilla Samurai [n]  Comida especial para mascotas [n] Pergamino Protector de equipamiento [n] Agua de la fuente de Cylloan [n] Pergamino de la liberación [n] Pocion especial grande[n]
zts4590e	Reconstruye 2000 HP y 2000 MP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4591e	Reconstruye 2000 HP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4592e	Reconstruye 2000 HP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4593e	Reconstruye 2000 MP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4594e	Reconstruye 2500 MP.[n] La Reconstrucción es válida  para los Jugadores y sus NosMates.[n][n]
zts4595e	Inicia el Raid de los Ladrones del Desierto[n]en el Templo de Aster-Sendero Secreto.[n]Nivel necesario: 80 a 99[n][Cómo se utiliza] El Jugador se convierte en el Líder del Equipo.[n]Después de que seas el Líder del Equipo, marca a un compañero[n] y utiliza el botón para "invitar". Cuando ya hayas hecho todos los preparativos, ve a la Entrada Raid.[n] Cuando el líder de Equipo entre al Raid, [n]todos los demás integrantes lo seguirán automáticamente.[n][Advertencia]Los personajes con un nivel más alto que el nivel recomendado[n] pueden participar en el Raid pero recibirán una penalización.[n]((Aunque se tenga éxito, no aumentará el nivel de vidas, ni se obtendrán baúles del tesoro).[n][n]
zts4596e	HP:700, MP:700[n]HP y MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n][n]
zts4597e	HP:2 500[n]HP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n]Se puede utilizar mientras estés sentado.[n][n]
zts4598e	HP:700, MP:300[n]HP y MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n][n]
zts4599e	HP:300, MP:700[n]HP y MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n][n]
zts4600e	HP:1000, MP:500[n]HP y MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n][n]
zts4601e	HP:500, MP:1000[n]HP y MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n][n]
zts4602e	HP:2 500[n]MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n]Solo se puede utilizar mientras estés sentado.[n][n]
zts4603e	HP:2500, MP:2500[n]HP y MP se recargan lentamente.[n]También tu NosMate saca provecho de ello.[n]Puede ser utilizado, mientras tu te reposes.[n][n]
zts4604e	Cofre de la Ardilla Boxeadora
zts4605e	Cofre de la Ardilla Boxeadora.[n]Cuando tu abras el Cofre, puedes recibir uno de los siguientes Items:[n] Perla de la Ardilla Boxeadora[n] Perla de la Ardilla Enferma[n]Alas de Ángel[n]Alas de Demonio[n]Fortalecedor de Hada[n] Pergamino de Protección del Equipamiento[n]Pergamino de Liberación[n]  Poción especial grande[n]Alimento Especial para Mascotas[n]
zts4606e	Al utilizarlo recibirás el Humor de un Bufón, por lo cual te podrás mover más rápido y así  mismo podrás recibir mas Oro de los Monstruos.[n]Duración: Véase la Información del Item[n] El tiempo de uso comienza al utilizarlo.[n][n]
zts4607e	A través del Poder Mágico del Mago baja tu Consumo de Mana, todas las Resistencias aumentan y tu Mana máximo aumenta también.[n]Duración: Véase la Información del Item[n]El tiempo de uso empieza al momento de su utilización.[n][n]
zts4608e	Al utilizarlo sentirás el Fuego del Amor, por lo cual se aumentan tu HP, MP y tu Ataque.[n]Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4609e	Al utilizarlo te convertirás tan fuerte como un Eremita, por lo cual aumentan tu Defensa y tu HP.[n]Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4610e	Al utilizarse recibirás la Angustia Mortal. Ésta aumenta tu Precisión y tu Fuerza de Ataque.[n] Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4611e	Al utilizarse te convertirás tan fuerte cómo un Demonio, por el cual se aumentan tu HP, tu Velocidad de Movimiento y también aumenta tu Defensa.[n] Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4612e	A través de la Fuerza mágica de Menhir recibirás más Oro de los Monstruos y más Puntos de Experiencia.[n]Tiempo de Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4613e	Con la Fuerza de la Estrella Resplandeciente te puedes mover mucho más rápido y así mismo podrás recoger más Puntos de Experiencia..[n]Tiempo de Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4614e	A través de la Bendición de la Luna aumenta tu MP, tu Defensa y tu Ataque.[n]Tiempo de Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4615e	A través del Calor del Sol ganas Fuerza, con la cual aumenta tu Velocidad de Movimiento, tu MP y tu Ataque.[n]Tiempo de Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4616e	Contiene los siguientes Items, que se pueden obtener en NosMall:[n]Cofre del Patinete Mágico (1 vez)[n], Alas de la Amistad (10 veces)[n], ALtavoz(30 veces)[n]Juego de Cartas de Tarot (1 vez)[n], así como otros Items. Además de esto contiene un Cofre especial antiguo de la Buena Suerte.[n][n]
zts4617e	Cofre del Patinete Mágico
zts4618e	Un Cofre, que se encontraba en el Cofre Premium.[n]Contiene un Patinete Mágico.[n] cuando tomes el Patinete Mágico, no lo podrás vender.[n][n]
zts4619e	Cofre Antiguo de la Buena Suerte
zts4620e	Un Cofre de la Buena Suerte, en el cual se encuentran Items de toda clase Puedes recibir Items, que no hay en ningún otro sitio.[n][n]
zts4621e	Un Cofre con Items, que tu puedes comprar en el NosMall.[n] Bendición de Ancelloan,Juego de Cartas de Tarot, Poción especial grande y  un Cofre con una Gorra (7 días).[n][n]
zts4622e	La Carta de Tarot (Bufón) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Bufón).[n] No existe un nivel límite para éste Item.[n][n]
zts4623e	La Carta de Tarot (Mago) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Mago).[n] No existe un nivel límite para éste Item.[n][n]
zts4624e	La Carta de Tarot (Amor) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Amor).[n] No existe un nivel límite para éste Item.[n][n]
zts4625e	La Carta de Tarot (Eremita) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Eremita).[n] No existe un nivel límite para éste Item.[n][n]
zts4626e	La Carta de Tarot (Muerte) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Muerte).[n] No existe un nivel límite para éste Item.[n][n]
zts4627e	La Carta de Tarot (Demonio) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Demonio).[n] No existe un nivel límite para éste Item.[n][n]
zts4628e	La Carta de Tarot (Menhir) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Menhir).[n] No existe un nivel límite para éste Item.[n][n]
zts4629e	La Carta de Tarot (Estrella) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Estrella).[n] No existe un nivel límite para éste Item.[n][n]
zts4630e	La Carta de Tarot (Luna) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Luna).[n] No existe un nivel límite para éste Item.[n][n]
zts4631e	La Carta de Tarot (Sol) está todavía sellada y se le puede dar a otros Jugadores.[n]Uso:[n]doble clic para quitar el Sello y recibir la Carta de Tarot (Sol).[n] No existe un nivel límite para éste Item.[n][n]
zts4632e	Un Paquete con cinco Cartas de Tarot. Al utilizarlo puedes recibir cinco Cartas de Tarot Selladas.[n]Tu puedes recibir cinco de las siguientes Cartas selladas:[n]Bufón, Mago, Amor, Eremita, Muerte, Demonio, Menhir, Estrella, Luna o Sol.[n]Cuando tu utilices una de las Cartas de Tarot Sellada, recibirás una Carta de Tarot como Objeto-Equipamiento. Apenas se ponga la Carta, comienza el Tiempo de Uso.
zts4633e	Éste Objeto se convierte al usarlo en un Patinete Mágico.[n].[n] La rapidéz del movimiento se aumenta de igual manera en cualquier tipo de suelo.[n]Al usar un Item al momneto de la transformación se interrumpe ésta misma.[n]No es posible un aumento de velocidad adicional[n]Para su uso no existe Nivel Límite.[n][n]
zts4634e	Éste Item se convierte al usarlo en una Alfombra Mágica.[n] Especialmente en regiones desiertas te puedes mover con esto mucho más rápido.[n]En las otras regiones te moverás sólo un poco más rápido.[n]Al usar un Item al momento de la transformación se interrumpe ésta misma.[n]No es posible el  aumento de velocidades adicionales[n]Puede ser utilizado a partir del Nivel 70.[n][n]
zts4635e	A través del Calor del Sol ganas Fuerza, con la cual aumenta tu Velocidad de Movimiento, tu MP y tu Ataque.[n]Tiempo de Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4636e	Las Cuotas acumuladas de Puntos de Experiencia aumentan a un 100%[n]Duración: Una Hora[n][n]
zts4638e	Traje Azul de Oficial Naval (1 día)
zts4639e	Traje Azul de Oficial Naval (7 días)
zts4640e	Traje Azul de Oficial Naval (30 días)
zts4641e	Traje Azul de Oficial Naval (Permanente)
zts4642e	Traje de marinero azul (1 día)
zts4643e	Traje de marinero azul (7 días)
zts4644e	Traje de marinero azul (30 días)
zts4645e	Traje de marinero azul (permanente)
zts4646e	Gorra Azul de Oficial Naval (1 día)
zts4647e	Gorra Azul de Oficial Naval (7 días)
zts4648e	Gorra Azul de Oficial Naval (30 días)
zts4649e	Gorra Azul de Oficial Naval (permanente)
zts4650e	Gorra de marinero azul (1 día)
zts4651e	Gorra de marinero azul (7 días)
zts4652e	Gorra de marinero azul (30 días)
zts4653e	Gorra de marinero azul (permanente)
zts4657e	Pergamino del Disfraz de Halloween
zts4658e	Con éste Item te  puedes convertir en un respectivo Monstruo de Halloween. Si tu transformación fue exitosa, se gasta tu rol. [n] Monstruos en los que tú te puedes transformar: [n]Guerrero Yak [n]Princesa Catrisha [n]Torturador-pellizcador[n]Torturador con Rueda[n]Torturador con Barra de Acero[n]Retroconversión:[n]Si tu después de la conversión utilizas otra vez el Item de la transformación te transformarás otra vez  sin que hayas utilizado el Item.[n]También te volverás a transformar cuando tu te hayas muerto después de la Transformación o hayas cerrado sesión..[n] Item Evento: con el cierre del Evento desaparece el Item.[n][n]
zts4659e	Libro Negro de la Transformación de Halloween
zts4660e	Con éste Item te puedes convertir en un respectivo Monstruo de Halloween. Si tu transformación fue exitosa, se gasta tu rol. [n] Monstruos en los que tú te puedes transformar: [n]Guerrero Yak [n]Princesa Catrisha [n]Torturador-pellizcador[n]Torturador con Rueda[n]Torturador con Barra de Acero[n]Retroconversión:[n]Si tu después de la conversión utilizas otra vez el Item de la transformación te transformarás otra vez sin que hayas utilizado el Item.[n]También te volverás a transformar cuando tu te hayas muerto después de la Transformación o hayas cerrado sesión.[n] Item Evento: con el cierre del Evento desaparece el Item.[n][n]
zts4661e	Pergamino del Disfraz de Halloween (Evento)
zts4662e	Con éste Item te puedes convertir en un respectivo Monstruo de Halloween. Si tu transformación fue exitosa, se gasta tu rol. [n] Monstruos en los que tú te puedes transformar: [n]Guerrero Yak [n]Princesa Catrisha [n]Torturador-pellizcador[n]Torturador con Rueda[n]Torturador con Barra de Acero[n]Retroconversión:[n]Si tu después de la conversión utilizas otra vez el Item de la transformación te transformarás otra vez sin que hayas utilizado el Item.[n]También te volverás a transformar cuando tu te hayas muerto después de la Transformación o hayas cerrado sesión..[n] Item Evento: con el cierre del Evento desaparece el Item.[n][n]
zts4663e	Sello del raid de Halloween
zts4664e	A través de la Entrada Raid Secreta en NosVille puedes iniciar el Raid Halloween.[n]Nivel necesario: 20 a 99[n][Cómo se utiliza]El jugador se convierte en el Líder del Equipo.[n]Cuando ya seas el Líder del Equipo, haz clic en otro personaje[n]y utiliza el botón para "Equipo". Cuando ya hayas hecho todos los preparativos, ve a la Entrada Raid.[n]Cuando el Líder de Equipo entre al Raid,[n]todos los demás integrantes lo seguirán automáticamente.[n][Advertencia]Los personajes con un nivel más alto del recomendado[n]pueden participar en el Raid pero recibirán una penalización.[n](No aumentan las vidas ni obtendrán Cajas de Tesoros, independientemente de su rendimiento)[n][n][n] Item Evento: [n]Este ítem desaparece al finalizar el evento.[n][n]
zts4665e	Bolsa con Dulces de Halloween
zts4666e	Ésta Bolsa la recibirás  cuando vayas a los NPCs en los pueblos y digas "Dulce o Agrio!". Ésto los puedes colectar y los puedes cambiar por regalos con Hamakung.[n]Éste Item desaparece con el Cierre del Evento.[n][n]
zts4667e	Señal de Halloween
zts4668e	Tu puedes colocar una Señal para que otros jugadores puedan durante 30 Minutos ir a tu Pequeño País.[n]La forma de tu señal rtiene el aspecto de  Jack O´Lantern.[n][n]
zts4669e	Cofre Terrorífico de Halloween
zts4670e	En el Cofre se encuentran ocultos muchos Items diferentes.[n]Item Evento:[n]Éste Item desaparece con el Cierre del Evento.[n][n]
zts4671e	Cofre de Jack O'Lantern
zts4672e	Un Cofre de Halloween que contiene ítems valiosos.[n] Puedes obtener uno de los siguientes ítems:[n]1 Perla con la Ardilla Calabaza[n]30 Pergaminos del Disfraz de Halloween[n]20 Brújulas de Halloween[n]3 Vendiciones de Ancelloan[n]3 Barajas de Tarot[n]Contenido especial: Cofre Antiguo de la Buena Suerte.[n][n]
zts4673e	En su utilización se restauran el Jugador y su NosMate.[n][n]Éste Item desaparece con el Cierre del Evento.[n]
zts4674e	Al utilizarse recibirás la Angustia Mortal. Tu Cuota de Aciertos aumenta a un 150  y todos tus tus Ataques aun 150.[n]Nivel necesario: 1[n] Duración: 3 horas[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4693e	Mochila Aventurera (10 días) (evento)
zts4695e	Mochila del compañero (10 días, evento)
zts4697e	Costa NosMate (10 días, evento)
zts4700e	Al utilizarlo sentirás el Fuego del Amor, por lo cual se aumentan tu HP, MP y tu Ataque.[n]Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4701e	Perla de la Ardilla Calabaza
zts4702e	Cofre del Tesoro de Halloween
zts4703e	Sello de Jack O'Lantern
zts4704e	Puedes comenzar el Raid de Jack O'Lantern en[n]su escondite, en el noroeste de NosVille.[n]Nivel recomendado: 20 a 99[n][Cómo se utiliza]El jugador se convierte en el Líder del Equipo.[n]Cuando ya seas el Líder del Equipo, haz clic en otro personaje[n]y utiliza el botón para "Equipo". Cuando ya hayas hecho todos los preparativos, ve a la Entrada Raid.[n]Cuando el Líder de Equipo entre al Raid,[n]todos los demás integrantes lo seguirán automáticamente.[n][Advertencia]Los personajes con un nivel más alto del recomendado[n]pueden participar en el Raid pero recibirán una penalización.[n](No aumentan las vidas ni obtendrán Cajas de Tesoros, independientemente de su rendimiento)[n][n][n] Item Evento: [n]Este ítem desaparece al finalizar el evento.[n][n]
zts4705e	Un Cofre de Halloween que contiene ítems valiosos.[n]Contiene un Cofre Terrorífico de Halloween y un Cofre de la Buena Suerte.[n]
zts4706e	Al utilizarlo podrás sentir el Fuego del Amor, por lo cual se aumentan tu HP, MP y tu Ataque.[n]Duración: Véase la Información del Item[n]El tiempo de uso comienza al utilizarlo.[n][n]
zts4707e	Éste Objeto se convierte al usarlo en una Alfombra Mágica.[n] Especialmente en regiones desiertas te puedes mover con esto mucho más rápido.[n]Al usar un Item al momento de la transformación se interrumpe ésta misma.[n]No existe un Nivel Límite.[n][n]
zts4710e	Un Cofre en el cual se encuentra un Patinete Mágico.[n]Atención:[n] Apenas saques el Patinete del Cofreno lo puedes vender más[n][n]
zts4711e	Cofre de la Alfombra Mágica
zts4712e	Un Cofre en el cual se encuentra una Alfombra Mágica.[n]Atención:[n] Apenas saques la Alfombra del Cofre no la podrás vender más.[n][n]
zts4760e	Pegaso
zts4761e	Vaso Sellado
zts4762e	Un vaso sellado en el cual están atrapados monstruos. [n][n] Puedes abrirlo en el pueblo, en campo abierto o en tu Mini-mundo y liberar a los monstruos. Cazando estas criaturas podrás acumular puntos de experiencia y obtener con probabilidad baúles sellados.[n][n]Atención:[n][n] los monstruos liberados en un Mini-mundo desaparecerán apenas en el Mini-mundo no haya nadie o el propietario del Mini-mundo cierre sesión.[n][n]Ítem de Evento[n][n]Este ítem desaparecerá al termino del evento.[n][n]
zts4763e	Vaso Sellado (Evento)
zts4764e	Un vaso sellado en el cual están atrapados monstruos. [n][n] Puedes abrirlo en el pueblo, en campo abierto o en tu Mini-mundo y liberar a los monstruos. Cazando estas criaturas podrás acumular puntos de experiencia y obtener con probabilidad baúles sellados.[n][n]Atención:[n][n] los monstruos liberados en un Mini-mundo desaparecerán apenas en el Mini-mundo no haya nadie o el propietario del Mini-mundo cierre sesión.[n][n]Ítem de Evento[n][n]Este ítem desaparecerá al termino del evento.[n][n]
zts4765e	Pergamino del Disfraz de Hielo
zts4766e	Con este pergamino podrás transformarte en un monstruo de Glacernon, a juego con la estación del año.[n]Si logras transformarte, se gastará un pergamino.[n]Transformación a la forma original:[n]Utiliza nuevamente el mismo pergamino para volver a tu forma original.[n]Si mueres o te desconectas del juego, recuperarás tu aspecto original de forma automática.[n][n]
zts4767e	Pergamino del Disfraz de Hielo (Evento)
zts4768e	Con este pergamino podrás transformarte en un monstruo de Glacernon, un monstruo oportuno para esta estación de año. Si logras transformarte, se gastará un pergamino.[n]Transformación de regreso: [n] Podrás retornar a tu forma original utilizando nuevamente el mismo pergamino.[n]Si mueres o te desconectas del juego, serás transformado automaticamente a tu forma original.[n][n]
zts4769e	Baúl de NosMall que contiene objetos.[n][n]
zts4770e	Baúl del Tesoro de Año Nuevo
zts4771e	Baúl de NosMall que contiene ítems.[n]Abriendo el baúl obtendrás uno de los siguientes ítems: [n]1x Perla de Pegaso[n]1x Perla de la Ardilla de Navidad[n]50x Vasos Sellados[n]30x Pergaminos del Disfraz de Hielo[n]8x Bendiciones de Ancelloan[n][n]
zts4774e	Baúl del Tesoro Sellado
zts4775e	Este pergamino lo podrás obtener de los monstruos que se encuentran en los vasos sellados.[n] En el baúl sellado podrás encontrar ítems valiosos.[n][n]
zts4776e	Regalo de Navidad Pequeño
zts4777e	Un regalo especial que te trae Santa Claus.[n] Abriendo el baúl podrás obtener varios regalos.[n]Atención: Este baúl desaparecerá al termino del evento.[n][n]
zts4778e	Regalo de Navidad Grande
zts4779e	Un regalo especial que te trae Santa Claus.[n] Abriendo el baúl podrás obtener diversos regalos.[n]Atención: Este baúl desaparecerá al termino del evento.[n][n]
zts4780e	Baúl Dorado de Año Nuevo
zts4781e	Un baúl dorado para festejar el Año Nuevo. Abriendo el baúl podrás obtener diversos regalos.[n]Atención: Este ítem desaparecerá al termino del evento.[n][n]
zts4786e	Gema azul
zts4787e	Gema verde
zts4788e	Gema amarilla
zts4791e	Un vaso sellado en el cual están atrapados monstruos. [n][n] Puedes abrirlo en el pueblo, en campo abierto o en tu Mini-mundo y liberar a los monstruos. Cazando estas criaturas podrás acumular puntos de experiencia y obtener con probabilidad baúles sellados.[n][n]Atención:[n][n] los monstruos liberados en un Mini-mundo desaparecerán apenas en el Mini-mundo no haya nadie o el propietario del Mini-mundo cierre sesión.[n][n]Ítem de Evento[n][n]Este ítem desaparecerá al termino del evento.[n][n]
